,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,,,,,,Total Population,,,,,Hispanic/Latino (of any race),,,,,White non-Hispanic,,,,,Black non-Hispanic,,,,,Asian non-Hispanic,,,,
Orig Order,GeoType,Borough,GeoID,Name,NTA Type,Pop_10,Pop_20,Pop Change,Natural Change,Net Migration,Hsp_10,Hsp_20,Pop Change,Natural Change,Net Migration,WNH_10,WNH_20,Pop Change,Natural Change,Net Migration,BNH_10,BNH_20,Pop Change,Natural Change,Net Migration,ANH_10,ANH_20,Pop Change,Natural Change,Net Migration
55,NTA2020,Brooklyn,BK1403,Midwood,0,"48,988","52,891","3,903","5,524","-1,621","3,402","4,081",679,536,143,"37,282","35,135","-2,147","3,959","-6,106","2,470","2,833",363,190,173,"5,133","7,894","2,761",790,"1,971"
56,NTA2020,Brooklyn,BK1501,Gravesend (East)-Homecrest,0,"50,437","52,797","2,360","5,586","-3,226","4,826","5,842","1,016",908,108,"38,334","34,806","-3,528","3,861","-7,389",477,767,290,72,218,"6,063","9,108","3,045",677,"2,368"
57,NTA2020,Brooklyn,BK1502,Madison,0,"38,917","41,465","2,548","2,330",218,"2,689","3,217",528,326,202,"27,646","25,197","-2,449","1,366","-3,815",630,"1,228",598,89,509,"7,340","9,938","2,598",508,"2,090"
58,NTA2020,Brooklyn,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,0,"64,518","69,084","4,566",971,"3,595","5,203","6,148",945,447,498,"43,944","41,326","-2,618",-841,"-1,777","4,161","4,615",454,379,75,"10,135","14,205","4,070",969,"3,101"
59,NTA2020,Brooklyn,BK1601,Ocean Hill,0,"31,935","37,952","6,017","2,405","3,612","5,716","7,714","1,998",529,"1,469",439,"2,597","2,158",130,"2,028","24,825","24,567",-258,"1,653","-1,911",199,741,542,65,477
60,NTA2020,Brooklyn,BK1602,Brownsville,0,"54,649","60,470","5,821","4,556","1,265","11,639","13,933","2,294","1,178","1,116",446,830,384,103,281,"41,171","41,736",565,"3,150","-2,585",409,617,208,102,106
61,NTA2020,Brooklyn,BK1701,East Flatbush-Erasmus,0,"46,010","47,690","1,680","3,406","-1,726","4,207","5,181",974,472,502,820,"3,573","2,753",220,"2,533","39,027","34,050","-4,977","2,587","-7,564",773,"1,310",537,129,408
62,NTA2020,Brooklyn,BK1702,East Flatbush-Farragut,0,"33,445","34,317",872,"1,827",-955,"2,096","2,465",369,140,229,634,799,165,-31,196,"29,433","27,126","-2,307","1,599","-3,906",406,827,421,120,301
63,NTA2020,Brooklyn,BK1703,East Flatbush-Rugby,0,"39,331","42,762","3,431","1,990","1,441","1,902","2,690",788,97,691,473,"1,145",672,101,571,"35,884","34,671","-1,213","1,760","-2,973",269,685,416,37,379
64,NTA2020,Brooklyn,BK1704,East Flatbush-Remsen Village,0,"37,900","39,115","1,215","2,462","-1,247","2,561","3,320",759,184,575,297,691,394,20,374,"34,126","31,983","-2,143","2,221","-4,364",244,251,7,41,-34
65,NTA2020,Brooklyn,BK1771,Holy Cross Cemetery,7,29,32,3,-1,4,1,5,4,0,4,0,0,0,-1,1,27,19,-8,0,-8,0,6,6,0,6
66,NTA2020,Brooklyn,BK1801,Flatlands,0,"64,762","67,087","2,325","3,996","-1,671","5,753","6,016",263,469,-206,"11,793","9,749","-2,044",305,"-2,349","42,935","43,053",118,"2,638","-2,520","2,577","3,899","1,322",529,793
67,NTA2020,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,0,"45,231","46,955","1,724","1,806",-82,"3,583","4,309",726,321,405,"33,399","29,831","-3,568",574,"-4,142","4,952","6,271","1,319",532,787,"2,521","4,762","2,241",354,"1,887"
68,NTA2020,Brooklyn,BK1803,Canarsie,0,"83,693","89,932","6,239","5,200","1,039","6,941","7,433",492,446,46,"4,928","3,441","-1,487",-673,-814,"67,816","71,576","3,760","5,214","-1,454","2,198","1,841",-357,190,-547
69,NTA2020,Brooklyn,BK1891,Marine Park-Plumb Island,9,0,1,1,4,-3,0,1,1,0,1,0,0,0,4,-4,0,0,0,0,0,0,0,0,0,0
70,NTA2020,Brooklyn,BK1892,McGuire Fields,9,0,4,4,-1,5,0,0,0,0,0,0,2,2,-1,3,0,0,0,0,0,0,0,0,0,0
71,NTA2020,Brooklyn,BK1893,Canarsie Park & Pier,9,0,5,5,0,5,0,1,1,0,1,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0
